Phi[deg],Theta[deg],GainTotal
122,14,6.91876
124,14,6.96933
126,14,7.01855
128,14,7.06631
130,14,7.11251
132,14,7.15704
134,14,7.19982
136,14,7.24077
138,14,7.2798
140,14,7.31685
142,14,7.35187
144,14,7.38479
146,14,7.41558
148,14,7.4442
150,14,7.47064
152,14,7.49488
154,14,7.51691
156,14,7.53672
158,14,7.55435
160,14,7.56978
162,14,7.58306
164,14,7.5942
166,14,7.60324
168,14,7.6102
170,14,7.61513
172,14,7.61806
174,14,7.61904
176,14,7.61809
178,14,7.61525
180,14,7.61056
-180,16,7.49862
-178,16,7.49082
-176,16,7.48129
-174,16,7.47006
-172,16,7.45715
-170,16,7.4426
-168,16,7.42642
-166,16,7.4086
-164,16,7.38916
-162,16,7.36809
-160,16,7.34538
-158,16,7.32102
-156,16,7.29499
